排名,股票代码,股票名称,资产垫等级,保守资产垫比率,宽松资产垫比率,自由现金流(元),资本开支率,兑现路径,资产垫得分,经营安全得分,兑现安全得分,综合评分
245,000002,万科A,FAIL,-15.7180,-2.8870,"-2,163,425,442",N/A,NONE,0,0,0,0.00
246,000063,中兴通讯,FAIL,-0.6825,-0.1570,"-1,978,648,000",N/A,NONE,0,0,0,0.00
247,000338,潍柴动力,FAIL,-0.5598,0.1554,"-2,716,475,757",N/A,NONE,0,0,0,0.00
248,000408,藏格矿业,FAIL,0.0131,0.0216,"-79,538,901",N/A,NONE,0,0,0,0.00
249,000617,中油资本,FAIL,-7.9683,-0.2703,"-13,637,923,990",N/A,NONE,0,0,0,0.00
250,000768,中航西飞,FAIL,-0.6941,0.0779,"-1,288,930,687",N/A,NONE,0,0,0,0.00
251,000938,紫光股份,FAIL,-0.8309,-0.1396,"-3,092,736,551",N/A,NONE,0,0,0,0.00
252,000977,浪潮信息,FAIL,-0.4957,-0.0626,"-7,771,612,163",N/A,NONE,0,0,0,0.00
253,002049,紫光国微,FAIL,-0.0468,0.0035,"-350,035,759",N/A,NONE,0,0,0,0.00
254,002179,中航光电,FAIL,-0.1139,0.0501,"-2,061,445,015",N/A,NONE,0,0,0,0.00
255,002230,科大讯飞,FAIL,-0.2013,-0.0313,"-1,068,812,075",N/A,NONE,0,0,0,0.00
256,002241,歌尔股份,FAIL,-0.3556,-0.0129,"-584,755,267",N/A,NONE,0,0,0,0.00
257,002709,天赐材料,FAIL,-0.0761,-0.0046,"-21,392,770",N/A,NONE,0,0,0,0.00
258,300014,亿纬锂能,FAIL,-0.5234,-0.1120,"-365,647,427",N/A,NONE,0,0,0,0.00
259,300251,光线传媒,FAIL,0.0201,0.0449,"-21,526,990",N/A,NONE,0,0,0,0.00
260,300316,晶盛机电,FAIL,-0.0923,0.0121,"-234,912,276",N/A,NONE,0,0,0,0.00
261,300413,芒果超媒,FAIL,-0.2239,0.0404,"-390,752,569",N/A,NONE,0,0,0,0.00
262,300782,卓胜微,FAIL,-0.0514,-0.0152,"-183,675,969",N/A,NONE,0,0,0,0.00
263,300866,安克创新,FAIL,-0.0733,0.0165,"-450,631,809",N/A,NONE,0,0,0,0.00
264,301236,软通动力,FAIL,-0.2932,-0.0216,"-3,442,133,897",N/A,NONE,0,0,0,0.00
265,301269,华大九天,FAIL,-0.0008,0.0106,"-171,789,503",N/A,NONE,0,0,0,0.00
266,600010,包钢股份,FAIL,-0.6887,-0.2238,"-1,811,238,530",N/A,NONE,0,0,0,0.00
267,600111,北方稀土,FAIL,-0.0719,-0.0100,"-271,779,037",N/A,NONE,0,0,0,0.00
268,600161,天坛生物,FAIL,0.0262,0.0693,"-15,508,196",N/A,NONE,0,0,0,0.00
269,600372,中航机载,FAIL,-0.5086,-0.0241,"-861,405,491",N/A,NONE,0,0,0,0.00
270,600438,通威股份,FAIL,-1.6067,-0.6972,"-2,655,650,520",N/A,NONE,0,0,0,0.00
271,600489,中金黄金,FAIL,-0.1244,-0.0197,"-2,168,479,842",N/A,NONE,0,0,0,0.00
272,600515,海南机场,FAIL,-0.8347,-0.4682,"-66,514,659",N/A,NONE,0,0,0,0.00
273,600522,中天科技,FAIL,-0.0678,0.0891,"-1,948,608,649",N/A,NONE,0,0,0,0.00
274,600570,恒生电子,FAIL,-0.0653,0.0107,"-1,160,173,557",N/A,NONE,0,0,0,0.00
275,600588,用友网络,FAIL,-0.2575,-0.0392,"-1,005,059,997",N/A,NONE,0,0,0,0.00
276,600875,东方电气,FAIL,-0.6385,0.1555,"-2,698,094,669",N/A,NONE,0,0,0,0.00
277,601012,隆基绿能,FAIL,-0.4109,0.3191,"-2,448,622,879",N/A,NONE,0,0,0,0.00
278,601127,赛力斯,FAIL,-0.1222,0.4151,"-20,950,295,141",N/A,NONE,0,0,0,0.00
279,601136,首创证券,FAIL,-0.7669,0.1966,"-2,077,600,707",N/A,NONE,0,0,0,0.00
280,601238,广汽集团,FAIL,-1.0398,0.0646,"-3,246,271,265",N/A,NONE,0,0,0,0.00
281,601360,三六零,FAIL,0.1555,0.2520,"-63,634,000",N/A,NONE,0,0,0,0.00
282,601788,光大证券,FAIL,-2.1984,1.4300,"-372,753,652",N/A,NONE,0,0,0,0.00
283,601808,中海油服,FAIL,-0.4396,-0.0860,"-2,278,352,892",N/A,NONE,0,0,0,0.00
284,601868,中国能建,FAIL,-4.5631,-1.5727,"-23,721,628,000",N/A,NONE,0,0,0,0.00
285,603019,中科曙光,FAIL,-0.0908,0.0195,"-1,390,698,665",N/A,NONE,0,0,0,0.00
286,603392,万泰生物,FAIL,0.0117,0.0430,"-232,044,237",N/A,NONE,0,0,0,0.00
287,688012,中微公司,FAIL,0.0036,0.0264,"-158,726,143",N/A,NONE,0,0,0,0.00
288,688047,龙芯中科,FAIL,-0.0074,0.0021,"-106,081,556",N/A,NONE,0,0,0,0.00
289,688082,盛美上海,FAIL,-0.0083,0.0346,"-143,977,201",N/A,NONE,0,0,0,0.00
290,688126,沪硅产业,FAIL,-0.1118,-0.0140,"-165,605,697",N/A,NONE,0,0,0,0.00
291,688187,时代电气,FAIL,-0.2347,0.1023,"-909,804,106",N/A,NONE,0,0,0,0.00
292,688223,晶科能源,FAIL,-0.9282,0.0260,"-831,730,578",N/A,NONE,0,0,0,0.00
293,688271,联影医疗,FAIL,-0.0460,0.0621,"-959,099,482",N/A,NONE,0,0,0,0.00
294,688303,大全能源,FAIL,-0.0271,0.0401,"-1,245,128,070",N/A,NONE,0,0,0,0.00
295,688472,阿特斯,FAIL,-0.5400,-0.0667,"-157,304,498",N/A,NONE,0,0,0,0.00
296,688506,百利天恒,FAIL,-0.0229,-0.0014,"-741,839,951",N/A,NONE,0,0,0,0.00
